index,sex,race,age,bmi
000,2,1,22,19.366488
001,2,2,28,21.98382576
002,2,7,26,28.3449641
003,1,1,75,19.04608655
004,2,1,20,21.82657427
005,2,1,42,24.77762999
006,1,1,70,43.33585286
007,2,3,22,21.95310513
008,2,1,26,25.1755102
009,2,1,20,26.51527947
010,1,1,23,
011,2,1,26,23.04766682
012,2,1,21,22.45211591
013,2,8,18,22.74643517
014,2,1,18,25.93549189
015,1,1,67,27.92363594
016,2,6,19,21.16342236
017,2,7,19,23.47414599
018,2,1,20,21.11936542
019,2,1,23,35.93254866
020,1,1,27,32.00806248
021,2,1,34,24.54698787
022,2,1,28,18.61702128
023,2,1,55,25.07068241
024,2,1,19,20.32108773
025,2,1,21,24.42468936
026,2,1,27,23.75293639
027,2,1,28,22.509589
028,2,3,22,23.09941827
029,1,1,40,22.42810191
030,1,1,24,22.4040011
031,1,1,62,27.42351112
032,2,2,21,23.57060065
033,2,1,31,28.24594765
034,1,1,55,21.25
035,2,1,56,27.05599369
036,2,7,35,28.05570579
037,2,7,36,22.79797777
038,2,1,32,21.01492837
039,1,1,38,21.0430839
040,1,1,49,29.12905234
041,1,1,72,33.41958686
042,2,1,32,24.67351873
043,2,1,26,
044,2,1,22,28.69087371
045,1,7,27,35.24698031
046,2,2,25,20.00537334
047,1,1,61,25.06210292
048,1,1,64,26.35447668
049,1,3,27,
050,1,1,39,28.03089198
051,2,7,22,26.96355817
052,1,1,33,29.16173073
053,2,1,50,21.97151117
054,2,1,24,23.14814815
055,2,2,20,22.92244682
056,2,1,28,25.53210601
057,2,1,30,22.12814866
058,1,1,52,24.26891865
059,2,8,23,23.00965698
060,2,1,35,25.40905971
061,2,1,20,
062,2,1,22,23.76118631
063,2,1,52,24.64131898
064,2,1,35,28.69087371
065,1,3,66,20.0594682
066,1,1,26,21.29065635
067,2,1,28,29.83342605
068,2,1,28,28.29813222
069,2,8,63,31.56945089
070,2,1,25,21.19472414
071,2,7,19,24.10412984
072,2,1,18,23.2777603
073,2,1,55,29.50995926
074,2,1,64,23.11915735
075,1,1,69,24.64683359
076,1,1,29,25.02691372
077,1,1,23,19.9642612
078,2,3,19,20.66378589
079,2,6,30,24.09297052
080,1,1,45,22.93332794
081,2,3,44,23.7492603
082,2,1,44,24.38882429
083,2,8,30,23.95122659
084,2,1,22,21.24537582
085,2,1,20,22.46491625
086,2,7,28,25.83786771
087,2,8,30,32.28934672
088,2,2,26,32.78265581
089,1,1,32,23.83689116
090,2,3,22,23.78483322
091,2,1,23,25.24872345
092,2,3,54,36.97541135
093,2,1,36,21.5102471
094,2,1,63,26.3833416
095,2,1,29,23.21578813
096,2,1,22,26.42598461
097,2,7,19,22.87660075
098,2,1,32,46.09533364
099,2,7,21,
100,1,1,47,26.0546875
101,1,1,64,36.61309098
102,2,2,26,24.75667723
103,2,1,56,25.11637676
104,1,1,28,20.68027211
105,2,7,27,24.34964697
106,2,1,21,28.96295366
107,2,1,18,25.47058286
108,2,2,23,26.62170259
109,2,3,26,22.6011607
110,2,1,25,28.36515467
111,1,1,57,19.8950329
112,2,7,38,32.42851688
113,2,1,18,22.36012293
114,1,1,28,17.70251893
115,2,2,31,29.86853572
116,2,1,37,29.55406102
117,2,1,24,
118,1,3,24,
119,2,1,39,29.23951755
120,2,1,28,28.49139882
121,2,8,26,24.73146027
122,2,7,32,29.57128099
123,2,2,34,48.45767672
124,1,1,24,24.32606509
125,1,1,75,30.10214015
126,1,1,56,26.09491858
127,1,1,60,27.85828796
128,1,1,63,29.12905234
129,2,1,59,29.2602626
130,1,7,38,40.13047511
131,2,3,19,25.76794916
132,1,1,40,24.04809098
133,2,1,25,29.14588217
134,2,7,31,40.38933942
135,2,1,44,25.21127491
136,2,1,21,21.11490727
137,2,1,64,22.0560482
138,1,1,43,22.45211591
139,2,1,22,21.09902179
140,2,1,47,32.79183735
141,2,1,35,26.44868072
142,2,1,21,23.69329953
143,1,1,83,28.16897519
144,2,8,19,22.83272974
145,1,1,72,23.67852764
146,2,1,21,23.48347669
147,2,1,29,22.43029154
148,2,1,19,20.54096876
149,2,1,26,23.33218028
150,2,2,52,25.83786771
151,2,1,23,25.22449027
152,2,1,33,24.40857925
153,1,1,52,18.96690184
154,2,1,24,26.31281123
155,2,1,26,25.02691372
156,1,1,58,19.86489027
157,1,1,22,20.91786998
158,1,1,68,18.62689854
159,2,1,25,24.99293887
160,1,1,42,22.79944302
161,2,8,25,30.14634203
162,2,3,35,27.579601
163,2,1,27,25.7735855
164,1,1,53,20.19124899
165,2,1,20,20.95514195
166,2,7,20,22.66270867
167,1,1,21,21.30813147
168,2,1,45,24.34175829
169,1,3,35,24.20811
170,2,1,24,24.34096353
171,2,1,20,22.42035124
172,2,1,30,23.02469136
173,2,3,21,25.96803329
174,1,1,39,26.62170259
175,2,7,24,33.0953494
176,2,1,61,30.14220482
177,2,1,20,24.81587378
178,2,1,30,19.366488
179,1,2,52,47.8515625
180,2,1,31,24.90893732
181,2,1,18,50.16081054
182,2,1,56,27.67862679
183,1,8,38,21.12673139
184,2,1,32,26.70012133
185,1,1,41,21.20433359
186,2,1,24,23.08736985
187,2,1,27,21.5102471
188,2,1,52,25.5078125
189,2,1,21,21.5102471
190,2,1,27,25.25212259
191,2,1,34,26.26049697
192,2,1,44,30.27250952
193,2,1,23,28.16897519
194,2,1,56,30.08444361
195,2,8,33,22.96535205
196,1,1,37,22.29276896
197,2,1,19,23.54811563